File,Channel,FractionArtifactFree,Quality,TotalEpochs,BadEpochs
EPCTL21_artndxn.mat,0,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,1,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,2,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,3,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,4,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,5,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,6,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,7,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,8,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,9,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,10,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,11,0.8812572759022119,poor,83,125
EPCTL21_artndxn.mat,12,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,13,0.9662398137369034,poor,83,125
EPCTL21_artndxn.mat,14,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,15,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,16,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,17,0.9615832363213038,poor,83,125
EPCTL21_artndxn.mat,18,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,19,0.9650756693830035,poor,83,125
EPCTL21_artndxn.mat,20,0.9662398137369034,poor,83,125
EPCTL21_artndxn.mat,21,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,22,0.9662398137369034,poor,83,125
EPCTL21_artndxn.mat,23,0.9639115250291036,poor,83,125
EPCTL21_artndxn.mat,24,0.9650756693830035,poor,83,125
EPCTL21_artndxn.mat,25,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,26,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,27,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,28,0.9662398137369034,poor,83,125
EPCTL21_artndxn.mat,29,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,30,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,31,0.9650756693830035,poor,83,125
EPCTL21_artndxn.mat,32,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,33,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,34,0.9615832363213038,poor,83,125
EPCTL21_artndxn.mat,35,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,36,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,37,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,38,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,39,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,40,0.9650756693830035,poor,83,125
EPCTL21_artndxn.mat,41,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,42,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,43,0.9662398137369034,poor,83,125
EPCTL21_artndxn.mat,44,0.9650756693830035,poor,83,125
EPCTL21_artndxn.mat,45,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,46,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,47,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,48,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,49,0.9674039580908033,poor,83,125
EPCTL21_artndxn.mat,50,0.9674039580908033,poor,83,125
